Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Demequina lutea,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,66.2,,56.3,4,27.5,25,30,30,26
Demequina sediminicola,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,62.4,,56.3,10,28,,,28,18
Demequina flava,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,64.5,,56.5,10,28,,,28,18
Dendrosporobacter quercicolus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Dendrosporobacter,48.5,,52.1,20,27.5,25,30,45,25
Denitrovibrio acetiphilus,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Denitrovibrio,42.5,3.2,52.3,4,36,35,37,40,36
Dermabacter vaginalis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,62.6,2.4,56.7,25,37,,,45,20
Dermabacter jinjuensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,62.9,2.4,56.9,20,35,30,40,45,25
Dermacoccus profundi,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,69.1,,56.8,10,28,,,37,27
Dermacoccus barathri,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,66.8,,56.8,10,28,,,37,27
Dermacoccus abyssi,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,65.2,,56.7,10,28,,,37,27
Derxia lacustris,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,72,,54.5,15,30,25,35,40,25
Desertibacillus haloalkaliphilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Desertibacillus,48.7,,54.1,20,37,,,55,35
Desertibacter roseus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Desertibacter,71.4,,62.1,12,38.5,37,40,42,30
Desertibacter xinjiangensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Desertibacter,71.2,,63,10,30,,,37,27
Desmospora profundinema,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Desmospora,51.8,,58.8,25,40,,,50,25
Desulfacinum infernum,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfacinum,64,,58,40,60,,,65,25
Desulfacinum hydrothermale,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfacinum,59.5,,59.2,37,60,,,64,27
Desulfotomaculum thermosapovorans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,51.2,,57.4,35,50,,,60,25
Desulfotomaculum alcoholivorax,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,48,,56.8,33,45,44,46,51,18
Desulfotomaculum arcticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,48.9,,55.5,26,44,,,46.5,20.5
Desulfotomaculum sapomandens,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,48,,55.8,20,38,,,43,23
Desulfotomaculum gibsoniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,45.5,,55.5,20,36,35,37,42,22
Desulfatibacillum alkenivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatibacillum,57.8,,53.8,22,29,28,30,38,16
Desulfatiferula olefinivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatiferula,45.5,,52.5,16,33,30,36,38,22
Desulfatiferula berrensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatiferula,50.2,,52,20,31,30,32,35,15
Desulfatirhabdium butyrativorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium,55.1,,53.4,15,29,28,30,37,22
Desulfatitalea tepidiphila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatitalea,56.6,,54.5,13,38,34,42,45,32
Desulfitibacter alkalitolerans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitibacter,41.6,,53.9,23,36,35,37,44,21
Desulfitobacterium dehalogenans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,45,4.3,53.4,13,38,,,45,32
Desulfitobacterium metallireducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,,3.2,53.8,20,30,,,37,17
Desulfobacula phenolica,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,40.6,,51.8,10,30,28,32,42,32
Desulfobaculum xiamenense,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfobaculum,64.5,,56.8,22,37.5,35,40,44,22
Desulfobulbus aggregans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,52.6,,53,10,35,,,55,45
Desulfobulbus rhabdoformis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,50.6,,53.6,10,31,,,40,30
Desulfobulbus oligotrophicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,51.7,,53.9,20,35,,,37,17
Desulfobulbus japonicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,48.6,,52.8,15,35,,,35,20
Desulfobulbus mediterraneus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,58.6,,52.9,10,25,,,35,25
Desulfocapsa sulfexigens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,45.4,4,52.7,4,30,,,35,31
Desulfocarbo indianensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfocarbo,62.5,,57,16,30,,,37,21
Desulfocella halophila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfocella,35,,52.6,14,34,,,37,23
Desulfoconvexum algidum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfoconvexum,46,,51.1,0,15,14,16,20,20
Desulfocucumis palustris,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfocucumis,46.6,,55.5,18,34.5,32,37,48,30
Desulfocurvus thunnarius,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,70,,57.9,15,40,,,50,35
Desulfocurvus vexinensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,67.2,,57.6,20,37,,,50,30
Desulfofaba fastidiosa,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba,48.8,,53.5,5,28,,,33,28
Desulfofaba gelida,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba,52.8,,52.9,-2,7,,,10,11.8
Desulfotomaculum intricatum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofarcimen,41.1,,55.5,28,43.5,42,45,58,30
Desulfotomaculum acetoxidans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofarcimen,37.5,,52.9,20,36,,,40,20
Desulfofrigus fragile,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofrigus,52.1,,53,-2,18,,,27,28.8
Desulfofrigus oceanense,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofrigus,52.8,,53,-2,10,,,16,17.8
Desulfotomaculum kuznetsovii,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,54.9,,57.7,50,62.5,60,65,85,35
Desulfotomaculum thermocisternum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,56,,58.6,41,62,,,75,34
Desulfotomaculum salinum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,50.7,,59.1,45,62.5,60,65,75,30
Desulfotomaculum australicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,48.1,,58.6,40,68,,,74,34
Desulfotomaculum thermosubterraneum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,54.4,,58.4,50,63.5,61,66,72,22
Desulfotomaculum solfataricum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,48.3,,58.4,48,60,,,65,17
Desulfotomaculum thermoacetoxidans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,49.7,,58.2,45,57.5,55,60,65,20
Desulfotomaculum thermobenzoicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,52.8,,57.4,45,55,,,62,17
Desulfofustis glycolicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis,56.2,,53.8,15,28,,,37,22
Desulfoglaeba alkanexedens,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,59.3,3.4,59,17,34,31,37,50,33
Desulfohalobium utahense,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,51.4,,57.2,15,37,,,44,29
Desulfotomaculum peckii,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,44.4,,55.4,50,57.5,55,60,65,15
Desulfotomaculum tongense,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,53.9,,57.5,37,50,,,60,23
Desulfotomaculum alkaliphilum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,40.9,,54.4,30,52.5,50,55,58,28
Desulfotomaculum halophilum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,56.3,,53.6,30,35,,,40,10
Desulfovibrio alkalitolerans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfohalovibrio,64.7,,57.2,16,43,,,47,31
Desulfoluna spongiiphila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfoluna,58.5,,53.4,10,28,,,36,26
Desulfoluna butyratoxydans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfoluna,62,,52.6,10,30,,,35,25
Desulfomicrobium thermophilum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,58.7,,56.7,37,55,,,60,23
Desulfomicrobium salsuginis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,62.8,,54.7,10,35,,,40,30
Desulfomicrobium orale,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,58.9,2.8,56.1,25,37,,,39,14
Desulfonatronovibrio hydrogenovorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonatronovibrio,48.6,,55.6,15,37,,,43,28
Desulfonatronum thiodismutans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,63,,56.6,15,37,,,48,33
Desulfonatronum zhilinae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,,,56.2,10,36,,,40,30
Desulfonatronum parangueonense,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,56.1,,56,15,35,,,40,25
Desulfonatronum buryatense,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,48.8,,56.4,20,34,,,40,20
Desulfonatronum cooperativum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronaceae,Desulfonatronum,,,56.2,15,36.5,35,38,40,25
Desulfonauticus autotrophicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,41.3,,57.7,40,58,,,64,24
Desulfonauticus submarinus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,34.4,,57.7,30,45,,,60,30
Desulfonema magnum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfonema,41.6,,52.6,15,32,,,37,22
Desulfonema limicola,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfonema,34.5,,52.6,10,30,,,36,26
Desulfopila aestuarii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila,54.4,,52.1,10,35,,,40,30
Desulfopila inferna,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila,50.3,,52.9,10,28,,,35,25
Desulfoplanes formicivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfoplanes,55.4,,54.4,13,43.5,42,45,50,37
Desulfoprunum benzoelyticum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfoprunum,52.3,,53.9,20,30,,,30,10
Desulforhopalus singaporensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus,,,53.1,17,31,,,37,20
Desulfosalsimonas propionicica,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosalsimonas,54.1,,55.4,15,40,,,40,25
Desulfosarcina widdelii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,54,7.3,53.5,20,28,,,37,17
Desulfosarcina alkanivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,56.6,7.3,53.4,18,32,30,34,37,19
Desulfosoma caldarium,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfosoma,,,58.7,50,57,,,62,12
Desulfosoma profundi,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfosoma,57.6,,59,40,55,,,60,20
Desulfosporosinus acidiphilus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,42.1,5,54.9,25,30,,,45,20
Desulfosporosinus youngiae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,36.6,,54,4,25,,,42,38
Desulfosporosinus acididurans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,41.8,,54.5,15,30,,,40,25
Desulfosporosinus burensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,43.3,,54.9,5,25,,,30,25
Desulfosporosinus nitroreducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,42.4,,54.6,4,27.5,25,30,30,26
Desulfosporosinus fructosivorans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,43.2,,53.6,10,20,,,20,10
Desulfotalea arctica,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,41.8,,52.4,-2,18,,,26,27.8
Desulfotalea psychrophila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,46.6,3.7,52.4,-2,10,,,19,20.8
Desulfothermobacter acidiphilus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfothermobacter,58,,61.2,42,55,,,70,28
Desulfothermus naphthae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,37.4,,58,50,62.5,60,65,69,19
Desulfothermus okinawensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,34.9,,58.2,35,50,,,60,25
Desulfotignum balticum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,62.4,,52.9,10,29,28,30,42,32
Desulfotignum toluenicum,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,52,,52.8,16,34,,,35,19
Desulfotignum phosphitoxidans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,53.9,,52.8,15,30,,,30,15
Desulfotomaculum nigrificans,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,46.6,2.9,55.6,30,55,,,70,40
Desulfotomaculum hydrothermale,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,46.8,,55.1,40,55,,,60,20
Desulfotomaculum profundi,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,48.7,,55.3,30,45,,,60,30
Desulfotomaculum ferrireducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,45.4,3.2,55.2,30,50,,,55,25
Desulfotomaculum varum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,52.4,,55.1,37,50,,,55,18
Desulfotomaculum aquiferis,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,42.9,,53.8,30,42,,,45,15
Desulfotomaculum defluvii,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,45.4,,54.4,25,37,,,42,17
Desulfotomaculum aeronauticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,43.8,,53.9,20,37,,,42,22
Desulfovermiculus halophilus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfovermiculus,55.2,,57.5,25,37,,,47,22
Desulfovibrio marinus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,60.4,,57.9,20,37,,,50,30
Desulfovibrio oxamicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,65.2,,57.2,16,37,,,50,34
Desulfovibrio psychrotolerans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,49.3,,55.3,10,29,28,30,50,40
Desulfovibrio longreachensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,69,,57.5,20,37,,,48,28
Desulfovibrio salinus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,47.7,,54.4,15,40,,,45,30
Desulfovibrio senegalensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,55.8,,54.6,15,40,,,45,30
Desulfovibrio bizertensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,51,,53.2,15,40,,,45,30
Desulfovibrio capillatus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,58.7,,56.9,20,40,,,45,25
Desulfovibrio biadhensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,54.6,,57.2,25,37,,,45,20
Desulfovibrio tunisiensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,59.6,,55.4,15,37,,,45,30
Desulfovibrio senezii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,62,,56.3,25,37,,,45,20
Desulfovibrio alaskensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,57.8,3.7,56.5,10,37,,,45,35
Desulfovibrio hydrothermalis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,47,,54.3,20,35,,,45,25
Desulfovibrio legallii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,55,,56,22,35,,,43,21
Desulfovibrio inopinatus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,49.7,,55.9,15,30,,,42,27
Desulfovibrio mexicanus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,66,,55.9,20,37,,,40,20
Desulfovibrio butyratiphilus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,63.3,,56.6,25,35,,,40,15
Desulfovibrio aminophilus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,66,,57.8,25,35,,,40,15
Desulfovibrio longus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,62.3,,51.4,10,35,,,40,30
Desulfovibrio putealis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,57.8,,56.8,20,30,,,40,20
Desulfovibrio gabonensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,59.5,,57.8,15,30,,,40,25
Desulfovibrio bastinii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,44.6,,54,20,38.5,37,40,40,20
Desulfovibrio hontreensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,52.4,,53.8,20,35.5,34,37,39,19
Desulfovibrio aerotolerans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,57.2,,57.5,3,29,,,37,34
Desulfovibrio carbinoliphilus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,63,,57.7,22,30,,,36,14
Desulfovibrio litoralis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,54.1,0,28,,,33,33
Desulfovibrio cuneatus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,54.7,0,28,,,33,33
Desulfovibrio ferrireducens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,42,,53.7,-2,23,,,30,32
Desulfovibrio arcticus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,55.2,,55.4,-2,24,,,28,30
Desulfovibrio frigidus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,43.3,,53.4,-2,21.5,20,23,25,27
Desulfovirgula thermocuniculi,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,60.1,,60.4,61,70.5,69,72,80,19
Desulfurella multipotens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,33.5,,53.9,42,59,58,60,77,35
Desulfurella acetivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,32.1,1.8,53.8,42,54.5,52,57,73,31
Desulfurella kamchatkensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,31.6,,53.7,40,54,,,70,30
Desulfurella propionica,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,32.2,,53.9,33,55,,,63,30
Desulfurella amilsii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,34,,53.1,20,50,,,52,32
Desulfuribacillus stibiiarsenatis,Bacteria,Firmicutes,Bacilli,Bacillales,,Desulfuribacillus,38.2,,53.4,10,34,,,43,33
Desulfurispora thermophila,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfurispora,53.5,,58.8,40,60,59,61,67,27
Desulfurobacterium pacificum,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,42,,63.5,55,75,,,85,30
Desulfurobacterium atlanticum,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,41,,61.8,50,72.5,70,75,80,30
Desulfurobacterium thermolithotrophum,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,34.9,1.5,61.2,40,70,,,75,35
Desulfurobacterium indicum,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,38.2,,61.4,40,65,,,75,35
Desulfurococcus amylolyticus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,44.8,1.4,65.5,68,91,90,92,97,29
Desulfuromonas thiophila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,,,54.2,10,28,26,30,39,29
Desulfuromonas carbonis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,61.2,,56,10,31,25,37,37,27
Desulfuromonas svalbardensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,50.1,,53.2,-2,14,,,20,22
Desulfuromusa succinoxidans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,46,,54.4,4,32,,,35,31
Desulfuromusa kysingii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,47,,54.5,4,32,,,35,31
Desulfuromusa bakii,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,46,,54,8,27.5,25,30,32,24
