,Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRNA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
4471,Methanolacinia paynteri,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,44.9,,56,25,40,,,42,17
4472,Methanolacinia petrolearia,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,47.4,2.8,55.8,17,40,,,41,24
4473,Methanolinea tarda,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,56.3,,57.1,35,50,,,55,20
4474,Methanolinea mesophila,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,56.4,,57.1,20,37,,,40,20
4475,Methanolobus zinderi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,42,,55.6,25,45,40,50,50,25
4476,Methanolobus chelungpuianus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,48.3,,55.7,24,37,,,45,21
4477,Methanolobus taylorii,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,40.8,,55.4,15,37,,,45,30
4478,Methanolobus oregonensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,40.9,,55.5,15,37,,,45,30
4479,Methanolobus bombayensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,39.2,,53.1,15,37,,,40,25
4480,Methanolobus tindarius,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,40,,53.2,10,37,,,40,30
4481,Methanolobus vulcani,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,39,,53.6,10,28,,,40,30
4482,Methanolobus profundi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,42.4,,55.3,9,30,,,37,28
4483,Methanolobus psychrotolerans,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,41.3,,55.8,0,33.5,30,37,37,37
4484,Methanolobus psychrophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,44.9,,55.8,0,18,,,25,25
4485,Methanomassiliicoccus luminyensis,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,59.9,,55.4,25,37,,,45,20
4486,Methanomethylovorans thermophila,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,37.6,,56.2,42,50,,,58,16
4487,Methanomethylovorans uponensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,39.2,,55.9,25,37,,,40,15
4488,Methanomethylovorans hollandica,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,41.8,2.7,55.8,12,35.5,34,37,40,28
4489,Methanomicrobium mobile,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,48.8,,53,30,40,,,45,15
4490,Methanomicrobium antiquum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,37.6,,54.5,15,35,,,40,25
4491,Methanonatronarchaeum thermophilum,Archaea,Euryarchaeota,Methanonatronarchaeia,Methanonatronarchaeales,Methanonatronarchaeaceae,Methanonatronarchaeum,38,,56.8,30,50,,,60,30
4492,Methanoplanus limicola,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,47.5,,53.8,17,40,,,41,24
4493,Methanoplanus endosymbiosus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,38.7,,50.6,16,32,,,36,20
4494,Methanopyrus kandleri,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,,,67.7,85,100,,,122,37
4495,Methanopyrus kandleri,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,61.2,1.7,68.1,84,98,,,110,38
4496,Methanoregula boonei,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,54.5,2.5,55.8,10,36,35,37,40,30
4497,Methanoregula formicica,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,55.2,2.8,56,10,31.5,30,33,40,30
4498,Methanosarcina thermophila,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.1,3.1,55.1,35,50,,,55,20
4499,Methanosarcina flavescens,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.3,,56.2,20,45,,,55,35
4500,Methanosarcina spelaei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,39,,56.6,0,33,,,54,54
4501,Methanosarcina soligelidi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,40.9,,56.6,0,28,,,54,54
4502,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.5,4.1,56.9,20,40,,,45,25
4503,Methanosarcina acetivorans,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,42.7,5.8,56,15,37.5,35,40,45,30
4504,Methanosarcina horonobensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.3,5,56.5,20,37,,,42,22
4505,Methanosarcina vacuolata,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,39.7,4.6,53.3,18,38.5,37,40,42,24
4506,Methanosarcina subterranea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.5,,56.7,10,35,,,40,30
4507,Methanosarcina siciliae,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,42.9,5,56.6,20,35,,,40,20
4508,Methanosarcina semesiae,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,,56.6,18,32.5,30,35,39,21
4509,Methanosarcina lacustris,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,41.8,4.1,56.6,1,25,,,35,34
4510,Methanosarcina baltica,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,,55.6,4,25,,,27,23
4511,Methanosphaera stadtmanae,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,27.6,1.8,50.7,30,38,36,40,40,10
4512,Methanosphaerula palustris,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,55.4,2.9,55.4,14,29,28,30,35,21
4513,Methanospirillum hungatei,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,45.1,3.5,55.9,20,37,,,50,30
4514,Methanospirillum lacunae,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,45.3,,56.3,15,30,,,37,22
4515,Methanospirillum stamsii,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,40,,54.5,5,25,20,30,37,32
4516,Methanospirillum psychrodurum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,44.4,,55.7,4,25,,,32,28
4517,Methanothermobacter tenebrarum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,52,,59,45,70,,,80,35
4518,Methanothermobacter crinale,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,40.1,,59.1,45,60,,,80,35
4519,Methanothermobacter thermautotrophicus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,49.5,1.8,57.9,40,67.5,65,70,75,35
4520,Methanothermobacter wolfeii,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,48.9,1.7,57.9,37,55,,,74,37
4521,Methanothermobacter marburgensis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,48.6,1.6,57.9,45,60,,,70,25
4522,Methanothermobacter thermoflexus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,55,,57.7,45,55,,,70,25
4523,Methanothermobacter defluvii,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,62.2,,57.8,45,62.5,,,65,20
4524,Methanothermobacter thermophilus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,44.7,,57.6,45,57,,,65,20
4525,Methanothermococcus okinawensis,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,29.3,1.7,59.1,40,62.5,60,65,75,35
4526,Methanothermococcus thermolithotrophicus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,32.5,,57.5,17,62.5,,,70,53
4527,Methanothermus sociabilis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,33,,64.1,55,88,,,97,42
4528,Methanothermus fervidus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,31.6,1.2,64,65,83,,,97,32
4529,Methanothrix thermoacetophila,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,53.3,,57.8,30,57.5,55,60,70,40
4530,Methanothrix soehngenii,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,51,3,55.2,10,37.5,35,40,45,35
4531,Methanosaeta harundinacea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,60.6,2.6,56.4,25,35.5,34,37,45,20
4532,Methanosaeta pelagica,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,45.4,,55.9,20,30,,,35,15
4533,Methanotorris igneus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,32.3,1.9,59,45,88,,,91,46
4534,Methanotorris formicicus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,33.3,,62,55,70,,,83,28
4535,Methermicoccus shengliensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus,56,,59.1,50,65,,,70,20
4954,Natrarchaeobius halalkaliphilus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,61.1,,57.9,25,45,,,55,30
4955,Natrarchaeobius chitinivorans,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,62.1,,56.8,20,43,,,53,33
4956,Natrialba hulunbeirensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,64.3,,57.6,20,50,,,55,35
4957,Natrialba chahannaoensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,63.7,,57.9,20,45,,,55,35
4958,Natrialba swarupiae,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,62.5,,58.5,35,40,,,55,20
4959,Natrialba magadii,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,61,4.4,57.5,20,38.5,37,40,50,30
4961,Natribaculum longum,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natribaculum,63.8,,59.6,30,37,,,62,32
4962,Natribaculum breve,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natribaculum,63.9,,60.1,30,37,,,62,32
4963,Natrinema gari,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,64.7,,58.1,20,38.5,37,40,60,40
4964,Natrinema salaciae,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,63,,57.7,20,45,,,55,35
4965,Natrinema versiforme,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,63.4,4.7,58.3,20,41.5,37,46,53,33
4966,Natrinema ejinorense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,64.7,,57.5,25,37,,,50,25
4967,Natrinema soli,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,61.5,,57.5,25,40,,,45,20
4969,Natronoarchaeum mannanilyticum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,63,,59.5,20,37,,,55,35
4970,Natronoarchaeum persicum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,66.7,,60.4,20,38.5,37,40,55,35
4971,Natronoarchaeum rubrum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,66.2,,59.2,25,37,,,50,25
4972,Natronoarchaeum philippinense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,63,,59.3,20,41,37,45,50,30
4973,Natronobacterium texcoconense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,62.5,,58.9,25,37,,,45,20
4974,Natronobacterium gregoryi,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,62.2,3.8,58.7,25,37,,,40,15
4975,Natronobiforma cellulositropha,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobiforma,65.5,,57.8,18,43,,,53,35
4976,Natronococcus amylolyticus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,63.5,,58.3,22,42.5,40,45,50,28
4977,Natronococcus roseus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,62.1,,59,30,41,37,45,50,20
4978,Natronococcus jeotgali,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,64.4,,59.5,21,41,37,45,50,29
4979,Natronococcus occultus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,64.6,4.3,58.8,25,37.5,35,40,50,25
4980,Natronolimnobius aegyptiacus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,64.1,3.9,59.3,30,52,,,56,26
4981,Natronolimnobius innermongolicus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,63,,58.1,19,43,,,54,35
4982,Natronolimnobius baerhuensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,59.5,,57.9,30,37,,,46,16
4983,Natronomonas pharaonis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,63.1,2.7,58.6,25,45,,,55,30
4984,Natronomonas gomsonensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,63.4,,57.7,20,40,,,45,25
4985,Natronomonas moolapensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,64.5,2.9,58.6,25,38.5,37,40,45,20
4986,Natronorubrum tibetense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,60.1,,57.9,25,45,,,55,30
4987,Natronorubrum bangense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,60.6,4.4,57.5,25,45,,,55,30
4988,Natronorubrum sulfidifaciens,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,60.9,,57.6,20,45.5,44,47,55,35
4989,Natronorubrum aibiense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,61.3,4.3,57.6,25,45,,,50,25
4990,Natronorubrum sediminis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,62.5,,58.2,25,37,,,50,25
4991,Natronorubrum texcoconense,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,63.3,,57.7,25,37,,,45,20
5075,Nitrosarchaeum koreense,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,32.7,,52.1,15,25,,,30,15
5076,Nitrosopumilus piranensis,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,33.8,1.7,52.4,15,32,,,37,22
5077,Nitrosopumilus maritimus,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,34.2,1.6,52.6,15,32,,,35,20
5078,Nitrosopumilus adriaticus,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,33.4,1.8,52.5,15,31,30,32,34,19
5079,Nitrosopumilus ureiphilus,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,33.4,,52.5,10,26,,,30,20
5080,Nitrosopumilus oxyclinae,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,33.1,,51.9,4,25,,,30,26
5081,Nitrosopumilus cobalaminigenes,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,33,,52.8,10,25,,,30,20
5082,Nitrososphaera viennensis,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,52.7,2.5,57.7,28,42,,,47,19
5629,Palaeococcus pacificus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,43,1.9,65.2,50,80,,,90,40
5630,Palaeococcus ferrophilus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,53.5,,65.2,60,83,,,88,28
5631,Palaeococcus helgesonii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,42.5,,63.6,45,80,,,85,40
6014,Picrophilus torridus,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,36,1.5,55.5,47,60,,,65,18
6015,Picrophilus oshimae,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,36,,55.6,47,60,,,65,18
6565,Pyrobaculum aerophilum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,51.4,2.2,60.2,75,100,,,104,29
6566,Pyrobaculum organotrophum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,46,,68.2,78,102,,,102,24
6567,Pyrobaculum islandicum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,49.6,1.8,66.4,74,100,,,102,28
6568,Pyrobaculum arsenaticum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,55.1,2.1,67.8,68,90,,,100,32
6569,Pyrobaculum calidifontis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,51,,67.8,75,92.5,90,95,100,25
6570,Pyrobaculum ferrireducens,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,57,2.5,68,75,92.5,90,95,98,23
6571,Pyrobaculum oguniense,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,48,,67.9,70,92,90,94,97,27
6572,Pyrobaculum igneiluti,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,,67.9,75,90,,,95,20
6573,Pyrococcus kukulkanii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,44.6,2,66.5,70,105,,,112,42
6574,Pyrococcus yayanosii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,51.6,1.7,66.7,80,98,,,108,28
6575,Pyrococcus glycovorans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,47,,67.3,75,95,,,104,29
6576,Pyrococcus furiosus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,40.8,1.9,66.2,70,100,,,103,33
6577,Pyrococcus horikoshii,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,41.9,1.7,66.6,80,98,,,102,22
6578,Pyrococcus abyssi,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,44.7,1.8,66.8,67,96,,,102,35
6579,Pyrodictium brockii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,62,,68.7,80,105,,,110,30
6580,Pyrodictium occultum,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,63.5,,68.7,82,105,,,110,28
6581,Pyrodictium abyssi,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,59,,69.1,80,97,,,110,30
6582,Pyrodictium delaneyi,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,53.9,2,68.9,82,91,90,92,97,15
6583,Pyrolobus fumarii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,54.9,1.8,68.4,90,106,,,113,23
6931,Saccharolobus caldissimus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,31.7,,64,65,85,,,93,28
6932,Saccharolobus solfataricus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,35.8,3,63.4,50,85,,,87,37
6974,Salarchaeum japonicum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salarchaeum,64,,57.9,20,40,,,55,35
6996,Salinarchaeum chitinilyticum,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,68.1,,59.8,20,40,,,50,30
6997,Salinarchaeum laminariae,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,66.4,,59.8,20,37,,,50,30
7031,Salinigranum halophilum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,66.1,,58.3,20,41,40,42,60,40
7032,Salinigranum salinum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,65.2,,59,25,37,,,50,25
7033,Salinigranum rubrum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,65.7,5,58.8,20,37,,,50,30
7045,Salinirubellus salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,Salinirubellus,67,,59.8,25,37,,,50,25
7046,Salinirubrum litoreum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salinirubrum,65.3,,59.1,20,37,,,50,30
7047,Salinirussus salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salinirussus,69,,59.5,25,37,,,55,30
7072,Saliphagus infecundisoli,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Saliphagus,64.6,,58.7,25,37,,,50,25
7599,Staphylothermus marinus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,35.7,1.6,67.4,65,92,,,98,33
7600,Staphylothermus hellenicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,36.8,1.6,66.8,70,85,,,90,20
7617,Stetteria hydrogenophila,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Stetteria,65,,66.7,70,95,,,102,32
7811,Stygiolobus azoricus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus,37.6,2,64.5,57,80,,,89,32
7845,Sulfodiicoccus acidiphilus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus,51.1,2.4,61.8,50,67.5,65,70,70,20
7846,Sulfolobus tengchongensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,34.4,,61.3,65,85,,,95,30
7847,Sulfolobus yangmingensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,42,,63.9,65,80,,,95,30
7848,Sulfolobus acidocaldarius,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,36.7,2.2,62.8,55,72.5,,,85,30
7849,Sulfolobus metallicus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,38,,59.8,50,65,,,75,25
7850,Sulfophobococcus zilligii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Sulfophobococcus,54.7,,67.1,70,87,,,95,25
7866,Sulfurisphaera ohwakuensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,32.7,2.8,63.9,63,84,,,92,29
7867,Sulfurisphaera javensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,30.6,,64.3,60,82.5,80,85,90,30
7868,Sulfurisphaera tokodaii,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,32.8,2.7,64,70,80,,,85,15
8135,Thermocladium modestius,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium,52,,63.9,45,75,,,82,37
8136,Thermococcus fumicolans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,54.5,,65.1,73,87.5,85,90,103,30
8137,Thermococcus eurythermalis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,53.5,2.1,66,50,85,,,100,50
8138,Thermococcus kodakarensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,52,2.1,66,60,85,,,100,40
8139,Thermococcus hydrothermalis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,58,,65.4,55,85,,,100,45
8140,Thermococcus peptonophilus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,51.7,1.9,65.8,60,87.5,85,90,100,40
8141,Thermococcus litoralis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,43.1,2.2,65.4,55,85,,,98,43
